segment,q_index,combined_path_distance,mode,original_cm-1,symmetry_fixed_cm-1,delta_cm-1
1,13,0.28231000,26,655.501500,655.866700,0.365200
1,13,0.28231000,27,716.992600,715.976400,-1.016200
1,13,0.28231000,28,720.215400,719.329000,-0.886400
1,13,0.28231000,29,729.098400,728.588300,-0.510100
1,13,0.28231000,30,845.985500,845.934200,-0.051300
1,14,0.30402600,1,107.096300,106.534500,-0.561800
1,14,0.30402600,2,116.609600,116.089400,-0.520200
1,14,0.30402600,3,203.343700,203.025800,-0.317900
1,14,0.30402600,4,266.005300,265.956700,-0.048600
1,14,0.30402600,5,316.792900,316.873000,0.080100
1,14,0.30402600,6,319.966300,319.808600,-0.157700
1,14,0.30402600,7,349.827200,349.922300,0.095100
1,14,0.30402600,8,351.552100,351.031600,-0.520500
1,14,0.30402600,9,364.992600,364.644600,-0.348000
1,14,0.30402600,10,391.936000,392.013900,0.077900
1,14,0.30402600,11,396.854300,396.622600,-0.231700
1,14,0.30402600,12,424.564900,424.275100,-0.289800
1,14,0.30402600,13,433.134000,433.128000,-0.006000
1,14,0.30402600,14,450.822100,450.747300,-0.074800
1,14,0.30402600,15,456.423300,456.478000,0.054700
1,14,0.30402600,16,475.416200,474.968500,-0.447700
1,14,0.30402600,17,489.730500,489.574100,-0.156400
1,14,0.30402600,18,515.971700,515.577700,-0.394000
1,14,0.30402600,19,534.080900,533.580300,-0.500600
1,14,0.30402600,20,540.059000,540.036600,-0.022400
1,14,0.30402600,21,552.527900,552.227100,-0.300800
1,14,0.30402600,22,555.292000,554.829700,-0.462300
1,14,0.30402600,23,569.488000,569.565000,0.077000
1,14,0.30402600,24,608.787700,608.682500,-0.105200
1,14,0.30402600,25,636.052900,636.271600,0.218700
1,14,0.30402600,26,653.910700,654.308900,0.398200
1,14,0.30402600,27,717.214800,716.120400,-1.094400
1,14,0.30402600,28,720.502900,719.539200,-0.963700
1,14,0.30402600,29,731.665500,731.138700,-0.526800
1,14,0.30402600,30,843.848100,843.793000,-0.055100
1,15,0.32574200,1,114.581700,114.004600,-0.577100
1,15,0.32574200,2,124.597400,124.060500,-0.536900
1,15,0.32574200,3,216.754200,216.398500,-0.355700
1,15,0.32574200,4,264.216400,264.155000,-0.061400
1,15,0.32574200,5,313.025600,313.092100,0.066500
1,15,0.32574200,6,316.544500,316.384000,-0.160500
1,15,0.32574200,7,346.842700,346.962200,0.119500
1,15,0.32574200,8,351.341200,350.801100,-0.540100
1,15,0.32574200,9,364.011200,363.607300,-0.403900
1,15,0.32574200,10,392.157500,392.251400,0.093900
1,15,0.32574200,11,396.786700,396.555000,-0.231700
1,15,0.32574200,12,425.200800,424.893600,-0.307200
1,15,0.32574200,13,435.541200,435.529100,-0.012100
1,15,0.32574200,14,453.500700,453.414300,-0.086400
1,15,0.32574200,15,457.108300,457.120500,0.012200
1,15,0.32574200,16,477.974800,477.495500,-0.479300
1,15,0.32574200,17,489.352900,489.206700,-0.146200
1,15,0.32574200,18,512.584000,512.177800,-0.406200
1,15,0.32574200,19,532.623500,532.112600,-0.510900
1,15,0.32574200,20,536.670100,536.644600,-0.025500
1,15,0.32574200,21,552.762900,552.419700,-0.343200
1,15,0.32574200,22,554.335300,553.810400,-0.524900
1,15,0.32574200,23,569.625600,569.743400,0.117800
1,15,0.32574200,24,608.805000,608.705100,-0.099900
1,15,0.32574200,25,636.991300,637.229600,0.238300
1,15,0.32574200,26,652.105300,652.527800,0.422500
1,15,0.32574200,27,717.445700,716.272800,-1.172900
1,15,0.32574200,28,720.760500,719.718600,-1.041900
1,15,0.32574200,29,734.497400,733.961800,-0.535600
1,15,0.32574200,30,841.561000,841.501400,-0.059600
1,16,0.34745800,1,122.028500,121.440200,-0.588300
1,16,0.34745800,2,132.499500,131.949200,-0.550300
1,16,0.34745800,3,229.859600,229.462500,-0.397100
1,16,0.34745800,4,262.504600,262.429900,-0.074700
1,16,0.34745800,5,309.281100,309.331200,0.050100
1,16,0.34745800,6,312.959300,312.796100,-0.163200
1,16,0.34745800,7,343.612700,343.744700,0.132000
1,16,0.34745800,8,351.183600,350.624800,-0.558800
1,16,0.34745800,9,363.180100,362.730100,-0.450000
1,16,0.34745800,10,392.555400,392.664700,0.109300
1,16,0.34745800,11,396.693400,396.461900,-0.231500
